Player,Pos,Age,Tm,All Star,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dwayne Bacon,SG,25,ORL,0,29,20,721,5.9,13.9,0.423,1.5,4.1,0.373,4.3,9.8,0.444,2.2,2.7,0.8,0.6,3.9,4.5,1.5,1.1,0.1,1,2.4,15.5
Marvin Bagley III,PF,21,SAC,0,25,25,623,7.4,15.5,0.476,1.5,4,0.371,5.9,11.5,0.513,2.1,4.2,0.514,3,7.6,10.6,1.3,0.7,0.7,2.1,3.6,18.4
LaMelo Ball,PG,19,CHO,0,28,8,776,7.1,16.1,0.437,2.4,6.7,0.354,4.7,9.5,0.495,2.6,3.2,0.797,2,6,8,7.9,2,0.5,3.5,3.4,19
Lonzo Ball,PG,23,NOP,0,25,25,772,6,14.2,0.424,3.4,8.8,0.381,2.7,5.4,0.496,0.9,1.3,0.741,0.7,4.3,5,5.5,1.4,0.6,2.4,2.9,16.3
Mo Bamba,C,22,ORL,0,13,0,113,8.9,17.2,0.519,1.3,4.8,0.267,7.6,12.4,0.615,1,1.6,0.6,5.1,10.5,15.6,1.3,0.6,3.2,1.3,4.5,20.1
Desmond Bane,SG,22,MEM,0,20,2,456,5.9,12.2,0.484,3.2,6.7,0.482,2.7,5.5,0.486,1.1,1.3,0.824,0.7,3.5,4.2,2.5,1,0.2,1.8,2.9,16.2
Harrison Barnes,PF,28,SAC,0,27,27,948,5.4,11.2,0.48,1.7,4.4,0.388,3.7,6.8,0.539,3.7,4.4,0.843,1.1,5.3,6.4,3.5,0.8,0.2,1.4,1.2,16.2
RJ Barrett,SG,20,NYK,0,30,30,1012,6.7,15.5,0.428,1.1,3.6,0.304,5.5,11.9,0.466,3.2,4.3,0.742,1.4,5.2,6.6,3.3,0.8,0.2,2,2.6,17.6
Will Barton,SF,30,DEN,0,25,21,744,5.3,12.1,0.436,1.9,4.8,0.404,3.3,7.3,0.457,1.6,2.1,0.75,0.6,3.9,4.5,3.9,1,0.5,1.8,2.2,14.1
Keita Bates-Diop,SF,25,SAS,0,8,0,27,0,12,0,0,5.3,0,0,6.7,0,6.7,8,0.833,1.3,2.7,4,2.7,1.3,0,0,0,6.7
Nicolas Batum,SF,32,LAC,0,27,27,806,4,8.2,0.492,2.5,5.6,0.456,1.5,2.6,0.569,1.2,1.3,0.867,1.1,4.8,5.9,2.8,1.7,0.4,0.8,2.1,11.7
Aron Baynes,C,34,TOR,0,25,24,470,4.6,11.2,0.411,0.9,4.1,0.222,3.7,7,0.522,0.5,0.7,0.778,2.8,7.5,10.3,1.9,0.5,0.6,1.5,4.8,10.6
